class,name,coverage,polarity,failed,border_std,background_leakage
Unripe,UnripeApple (142).jpg,0.2617785395408163,n/a,False,38.13434914376027,0.15036162923486868
Unripe,UnripeApple (143).jpg,0.33067602040816324,n/a,False,47.794563429671406,0.003194310511089682
Unripe,UnripeApple (144).jpg,0.32930086096938777,n/a,False,47.88333121562092,0.0028445197603340798
Unripe,UnripeApple (145).jpg,0.11884167729591837,n/a,False,53.74729606728605,0.24987422438369947
Unripe,UnripeApple (146).jpg,0.12001753826530612,n/a,False,53.94144939657016,0.16439721022915973
Unripe,UnripeApple (147).jpg,0.11955915178571429,n/a,False,62.704621637614004,0.04134022337056176
Unripe,UnripeApple (148).jpg,0.11983816964285714,n/a,False,62.802617642792995,0.042574422085481456
Unripe,UnripeApple (149).jpg,0.13877152423469388,n/a,False,35.02531866051909,0.08171765043802959
Unripe,UnripeApple (15).jpg,0.10526945153061225,n/a,False,45.30819876123389,0.050170390003786446
Unripe,UnripeApple (150).jpg,0.13915019132653061,n/a,False,35.04849140417011,0.09238040676024062
Unripe,UnripeApple (151).jpg,0.25137515943877553,n/a,False,60.832749430995534,0.08641877428050425
Unripe,UnripeApple (152).jpg,0.2571348852040816,n/a,False,60.89782377156249,0.08494807006665633
Unripe,UnripeApple (153).jpg,0.28724888392857145,n/a,False,65.50115538390666,0.003607854020675779
Unripe,UnripeApple (154).jpg,0.2545838647959184,n/a,False,65.55425215482731,0.004305620792234226
Unripe,UnripeApple (155).jpg,0.24152981505102042,n/a,False,49.74396471929478,0.012129713672745276
Unripe,UnripeApple (156).jpg,0.2425263073979592,n/a,False,49.78847164280828,0.011422466924151532
Unripe,UnripeApple (157).jpg,0.10646524234693877,n/a,False,85.8310309377671,0.020217147135904157
Unripe,UnripeApple (158).jpg,0.15110809948979592,n/a,False,85.94609922421648,0.03666578739118966
Unripe,UnripeApple (159).jpg,0.12713249362244897,n/a,False,54.75263245552036,0.018654961592726133
Unripe,UnripeApple (16).jpg,0.10463169642857142,n/a,False,45.32042604690948,0.05142857142857143
Unripe,UnripeApple (160).jpg,0.12705277423469388,n/a,False,54.76293602979181,0.01992156862745098
