class,name,coverage,polarity,failed,border_std
60%,citra22.jpg,0.28762755102040816,dark,False,40.15893573615807
60%,citra23.jpg,0.2975326849489796,dark,False,40.074210237597846
60%,citra24.jpg,0.28396045918367346,dark,False,40.00171538034031
60%,citra25.jpg,0.6723533163265306,dark,False,31.185432013926455
60%,citra26.jpg,0.6447903380102041,dark,False,31.052217309946357
60%,citra27.jpg,0.6439931441326531,dark,False,31.01042413560127
60%,citra28.jpg,0.6461057079081632,dark,False,31.01797853395567
60%,citra29.jpg,0.6564692283163265,dark,False,31.058427262831586
60%,citra3.jpg,0.3950095663265306,dark,False,32.227305618795185
60%,citra30.jpg,0.6438536352040817,dark,False,30.984873776392988
60%,citra31.jpg,0.6425183354591837,dark,False,30.968315844753874
60%,citra32.jpg,0.6446109693877551,dark,False,30.974320608541785
60%,citra33.jpg,0.5120974170918368,dark,False,23.700844295497877
60%,citra34.jpg,0.5110411352040817,dark,False,23.62224968431923
60%,citra35.jpg,0.5101642219387755,dark,False,23.57462166287205
60%,citra36.jpg,0.5113002232142857,dark,False,23.50831757326255
60%,citra37.jpg,0.5087093431122449,dark,False,23.493517880992716
60%,citra38.jpg,0.5108617665816326,dark,False,23.470063525185655
60%,citra39.jpg,0.5086694834183674,dark,False,23.46830246976981
60%,citra4.jpg,0.39907525510204084,dark,False,32.22119808144718
60%,citra40.jpg,0.5098652742346939,dark,False,23.42985469846759
60%,citra41.jpg,0.5744778380102041,dark,False,59.16727560967413
60%,citra42.jpg,0.5693359375,dark,False,59.01001807180805
60%,citra43.jpg,0.5704520089285714,dark,False,58.93761592111874
60%,citra44.jpg,0.5752949617346939,dark,False,58.77715132249542
60%,citra45.jpg,0.5752551020408163,dark,False,58.674948828502465
60%,citra46.jpg,0.5694953762755102,dark,False,58.610327814855104
60%,citra47.jpg,0.5694953762755102,dark,False,58.522277469413524
60%,citra48.jpg,0.5735411352040817,dark,False,58.442949828998906
60%,citra49.jpg,0.7815290178571429,dark,False,75.33963033231574
60%,citra5.jpg,0.4016661352040816,dark,False,32.22192622125416
60%,citra50.jpg,0.7813097895408163,dark,False,75.10728385184466
60%,citra51.jpg,0.7807118941326531,dark,False,74.92147598281768
60%,citra52.jpg,0.7824856505102041,dark,False,74.73830780442574
60%,citra53.jpg,0.7833027742346939,dark,False,74.67697166841886
60%,citra54.jpg,0.7830038265306123,dark,False,74.54330341845791
60%,citra55.jpg,0.7846380739795918,dark,False,74.46550380691697
60%,citra56.jpg,0.7859335140306123,dark,False,74.39017832857263
60%,citra57.jpg,0.2366669323979592,dark,False,46.646079285416214
60%,citra58.jpg,0.23927774234693877,dark,False,46.44307940246407
60%,citra59.jpg,0.2435626594387755,dark,False,46.232735840901434
60%,citra6.jpg,0.39710220025510207,dark,False,32.21774406523141
60%,citra60.jpg,0.23740433673469388,dark,False,46.151548522865944
60%,citra61.jpg,0.24296476403061223,dark,False,46.095248850789744
60%,citra62.jpg,0.23907844387755103,dark,False,45.96716392487681
60%,citra63.jpg,0.7129902742346939,dark,False,45.91638756553792
60%,citra64.jpg,0.2341358418367347,dark,False,45.84923953199742
60%,citra65.jpg,0.6701610331632653,dark,False,23.150056048287592
60%,citra66.jpg,0.6681879783163265,dark,False,23.051403334455696
60%,citra67.jpg,0.6682079081632653,dark,False,22.85102254596841
60%,citra68.jpg,0.66796875,dark,False,22.74787132031472
60%,citra69.jpg,0.4067482461734694,dark,False,56.22666398872341
60%,citra7.jpg,0.3980189732142857,dark,False,32.2153571848852
60%,citra70.jpg,0.4028220663265306,dark,False,55.9856402507473
60%,citra71.jpg,0.4037388392857143,dark,False,55.76773164991812
60%,citra72.jpg,0.4118104272959184,dark,False,55.58111192680434
60%,citra73.jpg,0.40634964923469385,dark,False,55.45479519113058
60%,citra74.jpg,0.3791454081632653,dark,False,55.42525885605284
60%,citra75.jpg,0.38217474489795916,dark,False,55.30799770548085
60%,citra76.jpg,0.38321109693877553,dark,False,55.27066041229492
60%,citra77.jpg,0.23020966198979592,dark,False,70.57295629557639
60%,citra78.jpg,0.2250079719387755,dark,False,70.40871851586365
60%,citra79.jpg,0.22409119897959184,dark,False,70.2860075654535
60%,citra8.jpg,0.40359933035714285,dark,False,32.22223681324535
60%,citra80.jpg,0.22971141581632654,dark,False,70.18501005481976
60%,citra81.jpg,0.2347735969387755,dark,False,70.10898356263131
60%,citra82.jpg,0.2250079719387755,dark,False,70.06721940939178
60%,citra83.jpg,0.22321428571428573,dark,False,69.98314636004488
60%,citra84.jpg,0.23415577168367346,dark,False,69.8907848769022
60%,citra85.jpg,0.42044005102040816,dark,False,47.068196099687235
60%,citra86.jpg,0.4125478316326531,dark,False,46.91448580916344
60%,citra87.jpg,0.40409757653061223,dark,False,46.79838767050713
60%,citra88.jpg,0.43680245535714285,dark,False,46.73706470605875
60%,citra89.jpg,0.4037587691326531,dark,False,46.6484498063975
60%,citra9.jpg,0.5854392538265306,dark,False,41.65124136234143
60%,citra90.jpg,0.35184151785714285,dark,False,46.57435076797024
60%,citra91.jpg,0.38803411989795916,dark,False,46.50961574957653
60%,citra92.jpg,0.3812779017857143,dark,False,46.36593462202043
60%,citra93.jpg,0.5481903698979592,dark,False,36.540570072811704
60%,citra94.jpg,0.5494658801020408,dark,False,36.479869124172986
60%,citra95.jpg,0.5505819515306123,dark,False,36.44594146791657
60%,citra96.jpg,0.5506616709183674,dark,False,36.416009254509554
60%,citra97.jpg,0.7180125956632653,dark,False,50.598882035921484
60%,citra98.jpg,0.7171755420918368,dark,False,50.446089286826314
60%,citra99.jpg,0.7171954719387755,dark,False,50.37330815026946
80%,citra1.jpg,0.2269013073979592,dark,False,30.130626730380015
80%,citra10.jpg,0.7044802295918368,dark,False,46.98869253370955
80%,citra100.jpg,0.7028061224489796,dark,False,55.65587853504315
80%,citra11.jpg,0.7052375637755102,dark,False,46.9773722362686
80%,citra12.jpg,0.7065927933673469,dark,False,46.957901746586344
80%,citra13.jpg,0.3369937818877551,dark,False,14.390642403941607
80%,citra14.jpg,0.33296795280612246,dark,False,14.374459741720718
