cls,spec,fallback,n_empty,coh0,coh1,coh2,coh3,share0,share1,share2,share3
Unripe,0.005839984426708195,0,0,0.9506680369989723,0.8735758912164645,0.8281499202551834,0.9143272023233301,28.57842177403564,26.639906011356963,24.5545329939299,20.2271392206775
Unripe,0.0,0,0,0.948051948051948,0.9536802030456852,0.8523054755043228,0.8625482625482626,29.3698175787728,26.13598673300166,23.018242122719734,21.475953565505804
Unripe,0.007094039276754044,0,0,0.931316950220542,0.824607329842932,0.8661045531197302,0.864592462751972,27.655310621242485,26.627167378234727,25.834277250152475,19.883244750370306
Unripe,0.0,0,0,0.8911514253980007,0.9416699960047943,0.9364696421391234,0.9409332545776727,28.78303495311168,26.67306052855925,26.502557544757032,18.041346973572036
Unripe,0.0,0,0,0.8762467676394533,0.9546599496221663,0.9460370994940978,0.9803695150115473,29.44631785053845,25.911019253780047,25.802240835418257,18.840422060263244
Unripe,0.0,0,0,0.9501454092230993,0.8845733041575492,0.9552529182879378,0.7352657004830918,35.33470346447446,26.834997064004696,22.636523781561948,15.193775689958896
Unripe,0.0,0,0,0.9498327759197325,0.8889490790899242,0.9593709043250328,0.7276264591439688,35.217903415783276,27.179034157832742,22.46760895170789,15.135453474676089
Unripe,0.008720271800679502,0,0,0.9047427652733119,0.9084761045987376,0.8555555555555555,0.8897721250662427,28.424540157660232,25.339883468525077,24.67725351308123,21.558322860733462
Unripe,0.014344951249579737,0,0,0.9101437699680511,0.8309492847854356,0.9439210408254822,0.8991452991452992,28.470722001137013,26.23081296191018,25.343945423536102,19.954519613416714
Unripe,0.0,0,0,0.9242386106216964,0.889697322467986,0.9603658536585366,0.8672826543469131,30.39785768936496,26.289211935730684,25.095638867635806,18.217291507268556
Unripe,0.0,0,0,0.9241741741741741,0.8862629246676514,0.9681586061880445,0.8683870967741936,30.65592635212888,25.96854622171078,25.538933640199463,17.836593785960876
Unripe,0.00037460198539052256,0,0,0.94316052467208,0.9793530626290433,0.9145077720207254,0.9075555555555556,29.99812628817688,27.225032789956906,21.697582911748174,21.079258010118043
Unripe,0.0004712091226086137,0,0,0.9304655274012964,0.9295554164057608,0.9628302731751007,0.95406162464986,32.00075429002452,30.11502922873845,21.054120309258913,16.830096171978127
Unripe,0.0,0,0,0.954653937947494,0.9494310998735778,0.8525411596277738,0.8860377358490567,28.02675585284281,26.45484949832776,23.361204013377925,22.157190635451503
Unripe,0.00018698578908002991,0,0,0.9071702944942381,0.9791376912378303,0.9522240527182867,0.8826125330979699,29.21264260332897,26.893585187955864,22.70432017953993,21.189452029175236
Unripe,0.011592102879913059,0,0,0.9138263665594856,0.9495016611295681,0.9102564102564102,0.8272642390289449,28.49551035367418,27.579256001466007,24.299065420560748,19.626168224299064
Unripe,0.0036120165624174082,0,0,0.8972868217054264,0.8727116704805492,0.6301691729323309,0.5675024108003858,31.93633952254642,30.910698496905393,18.81520778072502,18.337754199823163
Unripe,0.003808342927995749,0,0,0.923692636072572,0.8565844858689116,0.6808109382366808,0.6546517291768145,33.32147937411095,29.569701280227594,18.856685633001423,18.25213371266003
Unripe,0.0008174943797261394,0,0,0.9712389380530974,0.6904441453566622,0.9018612521150592,0.6649616368286445,64.71671098384128,15.197381877684599,12.088361628144815,7.997545510329311
Unripe,0.002167712492869367,0,0,0.9760900140646976,0.948424953675108,0.8327433628318585,0.8906439854191981,40.64715298422136,37.02263892064944,12.920192087811571,9.410016007317632
Unripe,0.0006169031462060457,0,0,0.9769497947584465,0.6913407821229051,0.9010238907849829,0.6649616368286445,65.16460905349794,14.732510288065845,12.057613168724279,8.045267489711934
Unripe,0.0018431292238378046,0,0,0.8122001370801919,0.9766917293233083,0.900804289544236,0.8788819875776398,29.934345506770622,27.287648748461223,22.95855560114895,19.819450143619203
Unripe,0.0017519953280124587,0,0,0.8005215123859192,0.9800590841949779,0.8586515028432169,0.8572844400396432,29.914196567862717,26.40405616224649,24.005460218408736,19.67628705148206
Unripe,0.004095085896923692,0,0,0.9295257181028724,0.9053688682889146,0.9282903366856143,0.814850071394574,30.027078527730417,25.96529936816769,22.936515896098687,21.071106208003208
Unripe,0.0047169811320754715,0,0,0.9371447676362421,0.8646917534027222,0.9378283712784589,0.8227611940298507,30.16033074518504,25.18906927498235,23.031158616517093,21.61944136331552
Unripe,0.02067781427291729,0,0,0.9895833333333334,0.823785803237858,0.7908684546615581,0.8995842660697154,27.806997484564373,24.483573443097796,23.873770866681912,23.835658205655918
Unripe,0.018284011647592604,0,0,0.9712023038156947,0.8194714881780251,0.7523351259552788,0.8806995627732667,28.743878043733183,24.7982341174036,24.370559426088157,22.087328412775058
Unripe,0.006804801590335653,0,0,0.9297167290219134,0.9721570926143025,0.9388185654008439,0.8447180301826847,28.806774441878368,26.266358737490375,25.54272517321016,19.384141647421092
Unripe,0.00697638761116222,0,0,0.9283614006950013,0.986521365070261,0.9385612843470207,0.8471440064360418,28.881340230062534,26.920404539488924,25.005790164440672,19.192465066007873
Unripe,0.0,0,0,0.9789126016260162,0.8658342189160467,0.97395989224783,0.8186195826645265,30.487993803253293,29.155693261037957,25.879163439194425,14.477149496514329
Unripe,0.0028509522180408258,0,0,0.9498498498498499,0.9602360981671326,0.8026113671274961,0.8521836506159015,38.083257090576396,36.81381518755718,14.890210430009148,10.212717291857274
Unripe,0.00039323633503735744,0,0,0.9827840629611412,0.940677966101695,0.9121202221496243,0.8395926161680458,31.99055861526357,31.565696302124312,24.083398898505116,12.360346184107001
Unripe,0.08876966223631265,0,0,0.9120754716981132,0.8676789587852495,0.8752771618625277,0.9787234042553191,35.46099290780142,24.675498461126725,24.140238190820288,15.723270440251572
Unripe,0.08831042452256417,0,0,0.8755673222390318,0.8619201725997843,0.8534577387486278,0.977872340425532,35.276851234156105,24.736490993995996,24.309539693128755,15.677118078719147
Unripe,0.013964472738474176,0,0,0.9179437017715466,0.7561841938348345,0.42106067553110194,0.3087610961018912,31.937936061647402,27.362976847512932,22.711652608559827,17.987434482279845
Unripe,0.013790545552633354,0,0,0.9049650043744532,0.7507057812691789,0.4185906141542176,0.29919339711123616,31.26260726862457,27.853943724571778,22.65718486102089,18.22626414578276
Unripe,0.0,0,0,0.8628583654257596,0.8239036582594865,0.8040050062578222,0.910157291388963,27.786695202425538,26.163723916532906,23.750074311872066,22.29950656916949
Unripe,0.00013540961408259986,0,0,0.9126163391933816,0.9097374179431073,0.9317931793179318,0.9545454545454546,26.191765980498378,24.756229685807153,24.62080173347779,24.431202600216682
Unripe,0.0,0,0,0.9637234770704997,0.9644351464435147,0.9876811594202899,0.9100084104289319,26.73865300146413,26.244509516837482,25.25622254758419,21.7606149341142
Unripe,0.0035811072396438252,0,0,0.9911504424778761,0.8774345198119543,0.8852173913043478,0.8646808510638297,37.31908693540554,28.926663428848954,22.340942204953862,11.413307430791647
Unripe,0.0,0,0,0.9583333333333334,0.9669943820224719,0.9898477157360406,0.9097872340425532,26.9018743109151,26.16685042263874,25.339948548327822,21.59132671811834
Unripe,0.00014330753797649757,0,0,0.8216280451574569,0.6953633585757938,0.5652173913043478,0.24135280553420446,30.152644403038554,26.970761072094025,24.2296115809087,18.64698294395872
Unripe,7.156915369475756e-05,0,0,0.8418019289578923,0.697065820777161,0.5134728285413217,0.22018348623853212,30.42622481480156,27.076548688401385,23.773395841534555,18.7238306552625
Unripe,0.0,0,0,0.9377076411960132,0.9628975265017667,0.9085783326621023,0.8772378516624041,34.436075889026604,26.980646391457718,23.67241872437792,14.910858995137763
Unripe,0.0,0,0,0.8953488372093024,0.9210290158540233,0.86784,0.8582629674306393,33.68695936020891,27.280887873347474,25.501876938142647,13.530275828300963
Unripe,0.030873920987965472,0,0,0.9815594307476448,0.9230769230769231,0.8395480225988701,0.8649350649350649,32.43612248878486,32.03302776152396,23.01540862102594,12.515441128665236
Unripe,0.030622553352696046,0,0,0.9103147891506632,0.8849001570563159,0.8648860958366065,0.8647581441263573,32.89910766625415,29.030156972578645,24.874617338630888,13.196118022536313
Unripe,0.0,0,0,0.9710407239819004,0.9969954932398598,0.8647642679900744,0.979108635097493,38.562205548769846,34.84557668818705,14.063863200139593,12.528354562903507
Unripe,0.0,0,0,0.971415607985481,0.99800796812749,0.8696741854636592,0.9789621318373072,38.51127031277302,35.086493098025514,13.943735802900575,12.458500786300892
Unripe,0.0,0,0,0.9592592592592593,0.9905660377358491,0.8666666666666667,0.872539831302718,31.974285230925393,25.105735070208084,24.86888851294197,18.051091185924548
Unripe,0.003372193852972348,0,0,0.9852507374631269,0.9226821758467328,0.9146644573322287,0.9475743348982786,36.04988399071926,28.25792730085073,23.33720030935808,12.354988399071926
Unripe,0.0,0,0,0.9142201834862386,0.8784559207094418,0.7981859410430839,0.8072207084468664,29.744849229089915,26.1563651248465,24.068767908309454,20.03001773775413
Unripe,0.00543018335684062,0,0,0.9803234950808738,0.9987707437000615,0.9386479093395858,0.9960750109027475,42.52286747500531,23.073105013117775,18.14507551584769,16.258951996029214
Unripe,0.005426356589147287,0,0,0.9815059445178336,1.0,0.9360217138425746,0.9968609865470852,42.9107914688585,23.01424218805357,18.273931835895983,15.80103450719195
Unripe,0.0366045936847488,0,0,0.9714944201843765,0.744307577454274,0.7133246122220146,0.8935704514363885,36.46496815286624,23.699575371549894,23.66861288039632,16.166843595187544
Unripe,0.03454574332909784,0,0,0.9841729826125725,0.7784156142365097,0.8049519059494122,0.8934177912420821,36.90055112280991,25.076087850621043,23.089578020893313,14.933783005675744
Unripe,0.02817281728172817,0,0,0.979227523531321,0.9044227886056971,0.9058956916099773,0.9021648626144879,28.535704362322868,24.71056775030101,24.50680744651292,22.246920440863203
Unripe,0.03666555961474593,0,0,0.8909555069292487,0.9449704142011834,0.9119453924914676,0.8062015503875969,37.81286630352341,23.305522995242363,20.20271667930773,18.6788940219265
Unripe,0.028159570901776735,0,0,0.965352449223417,0.9089329162321863,0.8971656976744186,0.9079801450935472,28.872024836150395,24.81027940669196,23.732321490169024,22.585374266988616
Unripe,0.0,0,0,0.9849462365591398,0.9911684782608695,0.9675174013921114,0.8124054462934948,38.31101956745623,30.319258496395467,17.754891864057672,13.614830072090628
Unripe,0.005727675084613382,0,0,0.9693853145180579,0.9994731296101159,0.9203426124197002,0.8489082969432314,36.49297372785197,33.132582700532424,20.38055337348346,9.993890198132146
Unripe,0.0067740144364242085,0,0,0.9775171065493646,0.9821802935010482,0.9544316474712068,0.9360236220472441,34.313506261180684,31.999105545617173,22.327817531305904,11.359570661896242
Unripe,0.0,0,0,0.910267471958585,0.877521613832853,0.9093678598629094,0.8906171600602107,31.981236203090507,25.533480500367915,24.153789551140544,18.33149374540103
Unripe,0.0,0,0,0.8714454976303317,0.8775210854418776,0.9053901243874859,0.8660421545667447,30.998071802405658,25.0390230465522,24.359562941878615,19.60334220916353
Unripe,0.0,0,0,0.9366916269571137,0.9887323943661972,0.9389558232931727,0.9356178608515057,28.820875024524227,27.859525210908377,24.42613301942319,18.893466745144202
