path,class_folder,source,variant,coverage,reason,substituted
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (656).jpg,UnripeApple,primary,1,0.09105947066326531,"GrabCut grew to only 1.46x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (656).jpg,UnripeApple,primary,2,0.08408402423469388,"GrabCut grew to only 1.35x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (663).jpg,UnripeApple,primary,0,0.08567841198979592,"GrabCut grew to only 1.38x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (663).jpg,UnripeApple,primary,1,0.09093989158163265,"GrabCut grew to only 1.46x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (663).jpg,UnripeApple,primary,2,0.08173230229591837,"GrabCut grew to only 1.31x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (664).jpg,UnripeApple,primary,0,0.08408402423469388,"GrabCut grew to only 1.35x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (664).jpg,UnripeApple,primary,1,0.08384486607142858,"GrabCut grew to only 1.35x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (664).jpg,UnripeApple,primary,2,0.08426339285714286,"GrabCut grew to only 1.35x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (664).jpg,UnripeApple,primary,3,0.08525988520408163,"GrabCut grew to only 1.37x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (773).jpg,UnripeApple,primary,0,0.08930564413265306,"GrabCut grew to only 1.43x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (773).jpg,UnripeApple,primary,3,0.09111926020408163,"GrabCut grew to only 1.46x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (774).jpg,UnripeApple,primary,0,0.08276865433673469,"GrabCut grew to only 1.33x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (774).jpg,UnripeApple,primary,1,0.09201610331632654,"GrabCut grew to only 1.48x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\RipeApple\RipeApple (109).jpg,RipeApple,primary,0,0.0836654974489796,"GrabCut grew to only 1.34x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\RipeApple\RipeApple (109).jpg,RipeApple,primary,1,0.09040178571428571,"GrabCut grew to only 1.45x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\RipeApple\RipeApple (109).jpg,RipeApple,primary,3,0.08591757015306123,"GrabCut grew to only 1.38x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\RipeApple\RipeApple (110).jpg,RipeApple,primary,0,0.08380500637755102,"GrabCut grew to only 1.35x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\RipeApple\RipeApple (110).jpg,RipeApple,primary,1,0.08426339285714286,"GrabCut grew to only 1.35x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\RipeApple\RipeApple (165).jpg,RipeApple,primary,0,0.0921157525510204,"GrabCut grew to only 1.48x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\RipeApple\RipeApple (165).jpg,RipeApple,primary,2,0.09195631377551021,"GrabCut grew to only 1.48x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\RipeApple\RipeApple (165).jpg,RipeApple,primary,3,0.09191645408163265,"GrabCut grew to only 1.48x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
