configuration,kind,source,class,precision,recall,f1,support,accuracy,macro_f1
E2_healthy_only,ablation,cv_out_of_fold,Rotten,0.936426116838488,0.8555729984301413,0.8941755537325676,637,0.9194061505832449,0.9195733233098218
E2_blemished_only,ablation,cv_out_of_fold,Unripe,0.9523052464228935,0.9739837398373984,0.9630225080385852,615,0.9209968186638389,0.9213422928929677
E2_blemished_only,ablation,cv_out_of_fold,Ripe,0.8765243902439024,0.9069400630914827,0.8914728682170543,634,0.9209968186638389,0.9213422928929677
E2_blemished_only,ablation,cv_out_of_fold,Rotten,0.9367720465890182,0.8838304552590267,0.9095315024232633,637,0.9209968186638389,0.9213422928929677
E2_random_mask,ablation,cv_out_of_fold,Unripe,0.9565217391304348,0.9658536585365853,0.9611650485436893,615,0.9125132555673383,0.9130270502820982
E2_random_mask,ablation,cv_out_of_fold,Ripe,0.8597014925373134,0.9085173501577287,0.8834355828220859,634,0.9125132555673383,0.9130270502820982
E2_random_mask,ablation,cv_out_of_fold,Rotten,0.9260504201680673,0.8649921507064364,0.8944805194805194,637,0.9125132555673383,0.9130270502820982
E2_full,ablation,cv_out_of_fold,Unripe,0.9634920634920635,0.9869918699186991,0.9751004016064257,615,0.9374337221633086,0.9376868013713685
E2_full,ablation,cv_out_of_fold,Ripe,0.8933933933933934,0.9384858044164038,0.9153846153846154,634,0.9374337221633086,0.9376868013713685
E2_full,ablation,cv_out_of_fold,Rotten,0.9593220338983051,0.8885400313971743,0.9225753871230644,637,0.9374337221633086,0.9376868013713685
